NÂ°,Codigo Nacional,Codigo OACI,Nombre,Latitud,Longitud,Altitud (Mts),Altura Minima (Mts),Propietario,Fecha Creacion,Tipo,Clasificacion,Zona Geografica,Region,Emite METAR,Emite SYNOP,Paisaje,Operador
11,180005  ,SCAR,"Chacalluta, Arica Ap.",-18.35555,-70.34028,50,"3,3",DMC,01-01-1956,Mixta,Sinoptica Aeronautica,Litoral,Arica y Parinacota,Si,Si,"Desertico, pista de aterrizaje al este a 70 mtrs aprox.",Aldo Espindola ( Anexo-1109)
12,180006  ,,Chapiquina reten,-18.39500,-69.53611,"3,39",0,DMC,01-07-1962,Convencional,Pluviometrica,Cordillera,Arica y Parinacota,No,No,Sector cordillerano,Carabineros de Chile
13,180007  ,,Belen reten,-18.46778,-69.51500,"3,271",0,DMC,01-01-1938,Convencional,Pluviometrica,Cordillera,Arica y Parinacota,No,No,Sector cordillerano,Carabineros de Chile
14,180008  ,,Guallatire reten,-18.49722,-69.15417,"4,251",0,DMC,01-08-1963,Convencional,Pluviometrica,Cordillera,Arica y Parinacota,No,No,Sector cordillerano,Carabineros de Chile
15,180009  ,,Chucuyo reten,-18.21833,-69.32083,"4,402",0,DMC,01-03-1962,Convencional,Pluviometrica,Cordillera,Arica y Parinacota,No,No,"Sector cordillerano, Lago Chungara 13 km al este",Carabineros de Chile
16,180010  ,,Chilcaya reten,-18.79389,-69.08444,"4,279",0,DMC,01-01-1975,Convencional,TermoPluviometrica,Cordillera,Arica y Parinacota,No,No,"Sector cordillerano, 400 mtrs al sur salar de Surire",Carabineros de Chile
17,180011  ,,Codpa reten,-18.83305,-69.74444,"1,866",0,DMC,01-07-1961,Convencional,Pluviometrica,Valle,Arica y Parinacota,No,No,Valle rodeado de cerros,Carabineros de Chile
18,180012  ,,Parinacota,-18.20194,-69.26805,"4,429",0,DMC,01-12-1932,Convencional,Pluviometrica,Cordillera,Arica y Parinacota,No,No,30 mtrs al oeste humedal de Parinacota,Francisco Cano Mollo
19,180013  ,,El Buitre Arica Ad.,-18.50861,-70.28722,107,0,DMC,01-01-1950,Convencional,Sinoptica Aeronautica,Litoral,Arica y Parinacota,No,No,"Sector arido, Arica 1,8 km al norte, litoral 3 km al oeste.",Observador Meteorologico
20,180016  ,,Arica (Universidad de Tarapaca - Radiacion UV),-18.47111,-70.31222,23,0,DMC,01-11-2006,Automatica,Radiometrica,Litoral,Arica y Parinacota,No,No,Sector urbano,Automatica
21,180017  ,,Putre,-18.20000,-69.56250,"3,532",0,DMC,02-12-2016,Automatica,Climatologica,PreCordillera,Arica y Parinacota,No,No,"Sector rodeado de predios agricolas, precordillerano",Estacion automatica (Red Basica)
22,180018  ,,"Defensa Civil, Arica",-18.49111,-70.30139,71,0,DMC,04-01-2017,Automatica,Climatologica,Litoral,Arica y Parinacota,No,No,"Sector urbano, frente a estadio Arica Carlos Dittborn.",Estacion Automatica (Red Basica)
23,180019  ,,Rio Lluta en Alcerreca,-18.00361,-69.63250,"3,6",0,DGA,01-12-2001,Automatica,Climatologica,Cordillera,Arica y Parinacota,No,No,Sector arido,Est. Automatica
24,180020  ,,Putre - DCP,-18.19500,-69.55889,"3,57",0,DGA,01-12-2001,Automatica,Climatologica,Cordillera,Arica y Parinacota,No,No,Zona rodeada de predios agricolas y cerros de aprox. 100 mtrs de altura.,Est. Automatica
25,180021  ,,Rio Desaguadero Cotacotani,-18.19055,-69.24778,"4,55",0,DGA,01-07-2014,Automatica,Climatologica,Cordillera,Arica y Parinacota,No,No,Desertico muy poca vegetacion,Est. automatica
26,180022  ,,Parinacota Ex Endesa,-18.20417,-69.26833,"4,43",0,DGA,01-01-1983,Automatica,Climatologica,Cordillera,Arica y Parinacota,No,No,"Desertico, poca vegetacion.",Est. Automatica
27,180023  ,,Chungara Ajata,-18.23528,-69.18333,"4,585",0,DGA,01-05-1893,Automatica,Climatologica,Cordillera,Arica y Parinacota,No,No,En orilla del Lago Chungara,Est. Automatica
28,180024  ,,Central Chapiquina,-18.37194,-69.54806,"3,386",0,DGA,01-01-1963,Automatica,Climatologica,PreCordillera,Arica y Parinacota,No,No,Desertico.,Est. Automatica
29,180025  ,,Belen - DCP,-18.46778,-69.51694,"3,25",0,DGA,01-01-1938,Automatica,Climatologica,PreCordillera,Arica y Parinacota,No,No,"Deserico, muy poca vegetacion.",Est. Automatica
30,180026  ,,Rio Guallatire en Guallatire,-18.49667,-69.15139,"4,238",0,DGA,01-01-2013,Automatica,Climatologica,PreCordillera,Arica y Parinacota,No,No,"Muy poca vegetacion, se encuentra 10 metros del rio Caullatiri",Est. Automatica
31,180027  ,,Rio Tignamar en Angostura,-18.51361,-69.56556,"3,017",0,DGA,01-01-2006,Automatica,Climatologica,PreCordillera,Arica y Parinacota,No,No,"A pocos metros del rio Tignamar, Desertico",Est. Automatica
32,180028  ,,Rio Camarones en Chilpe,-18.94194,-69.61611,"1,572",0,DGA,01-12-2005,Automatica,Climatologica,PreCordillera,Arica y Parinacota,No,No,"A pocos metros de Rio Camarones, Desertico",Est. Automatica
33,180029  ,,Putre INIA,-18.19694,-69.55389,"3,577",0,INIA,04-06-2014,Automatica,Climatologica,Cordillera,Arica y Parinacota,No,No,"Desertico, muy poca vegetacion",Est. Automatica
34,180030  ,,Socoroma,-18.26389,-69.60778,"3,077",0,INIA,01-12-2009,Automatica,Climatologica,Cordillera,Arica y Parinacota,No,No,Desertico muy poca vegetacion,Est. Automatica
35,180031  ,,Lago Chungara,-18.28083,-69.13805,"4,57",0,INIA,01-05-2010,Automatica,Climatologica,Litoral,Arica y Parinacota,No,No,"Lago Chungara 190 mtrs al norte, Zona arida.",Est. Automatica
36,180032  ,,Lluta Alto,-18.39361,-69.96333,895,0,INIA,02-09-2011,Automatica,Climatologica,Valle,Arica y Parinacota,No,No,Rodeado de predios agricolas. Ubicada en el vale de Lluta,Est. Automatica
37,180033  ,,Lluta Bajo,-18.41361,-70.20611,0,0,INIA,01-01-2010,Automatica,Climatologica,Valle,Arica y Parinacota,No,No,"Poca vegetacion, se encuentra en un Valle",Est. Automatica
38,180034  ,,Lluta Medio,-18.45222,-70.06722,532,0,INIA,14-11-2009,Automatica,Climatologica,Valle,Arica y Parinacota,No,No,"Se encuentra en el Vale de Lluta, muy cerca a la iglesia de San Jeronimo",Est. Automatica
39,180035  ,,Belen INIA,-18.46833,-69.52333,"3,208",0,INIA,01-03-2015,Automatica,Climatologica,PreCordillera,Arica y Parinacota,No,No,Muy poca vegetacion,Est. Automatica
40,180036  ,,Azapa Medio,-18.54778,-70.12472,393,0,INIA,14-11-2009,Automatica,Climatologica,Litoral,Arica y Parinacota,No,No,Se encuentra en el valle de Azapa,Est. Automatica
41,180037  ,,Cerro Blanco,-18.57500,-70.06972,525,0,INIA,01-11-2014,Automatica,Climatologica,Litoral,Arica y Parinacota,No,No,Rodeado de predios agricolas,Est. Automatica
42,180038  ,,Ticnamar,-18.58000,-69.49583,"3,22",0,INIA,01-01-2017,Automatica,Climatologica,PreCordillera,Arica y Parinacota,No,No,Sector Precordillerano,Est. Automatica
43,180039  ,,Caleta Vitor,-18.78139,-70.28389,88,0,INIA,01-03-2015,Automatica,Climatologica,Secano Costero,Arica y Parinacota,No,No,"Muy poca vegetacion, se encuentra en una quebrada",Est. Automatica
44,180040  ,,Chaca INIA,-18.81000,-70.15611,328,0,INIA,01-11-2014,Automatica,Climatologica,Valle,Arica y Parinacota,No,No,"Se encuentra en una quebrada, poca vegetacion",Est. Automatica
45,180041  ,,Codpa,-18.83250,-69.74555,"1,87",0,INIA,03-04-2013,Automatica,Climatologica,Valle,Arica y Parinacota,No,No,"Se encuentra en la quebrada de Vitor, poca vegentacion",Est. Automatica
46,180042  ,,"Cerro Sombrero, Arica",-18.51250,-70.26556,122,0,DMC,22-06-2017,Automatica,Climatologica,Litoral,Arica y Parinacota,No,No,"Sector urbano, 4km al oeste, borde costero.",Est. Automatica
47,180043  ,,"Arica, Azapa1",-18.50972,-70.24805,141,0,FDF,08-10-2019,Automatica,Climatologica,Valle,Arica y Parinacota,No,No,"Se encuentra en el Valle de Azapa, rodeado de predios agricolas poca vegetacion.",Est. Automatica (FDF)
48,180044  ,,"Arica, Azapa 2",-18.52055,-70.23278,218,0,FDF,08-10-2019,Automatica,Climatologica,Valle,Arica y Parinacota,No,No,"Ubicado en un sector muy arido, sin vegetacion por lo menos en 1Km a la redonda.",Estacion Automatica (FDF)
49,180045  ,,Pampa Concordia,-18.36305,-70.30194,65,0,INIA,17-05-2018,Automatica,Climatologica,Litoral,Arica y Parinacota,No,No,"Sector desertico, 300 al NW complejo fronterizo Chacalluta Arica, 5km al W borde costero.",Estacion automatica
50,180046  ,,Chapiquina,-18.38944,-69.53944,"3,3",0,INIA,01-03-2018,Automatica,Climatologica,Cordillera,Arica y Parinacota,No,No,"Sector cordillerano, 1800 mtrs al SSE Chapiquina, 10 km al NNW Murmuntani.",Estacion automatica
51,180047  ,,Azapa Alto,-18.57750,-69.94722,838,0,INIA,01-03-2010,Automatica,Climatologica,Valle,Arica y Parinacota,No,No,"Sector desertico, 39 km al oeste borde costero, 20 km al NW valle de Lluta",Estacion automatica
52,180048  ,,Salar de Surire,-18.79472,-69.08444,"4,269",0,INIA,09-08-2017,Automatica,Climatologica,Cordillera,Arica y Parinacota,No,No,"Sector arido, 100 mtrs al sur salar de Surire",Estacion automatica
53,180901  ,,Chaca,-18.81583,-70.15222,343,0,DMC,01-06-1976,Convencional,Climatologica,Valle,Arica y Parinacota,No,No,"Sector desertico, se encuentra en Quebrada Vitor.",Observador D.M.C.
54,180910  ,,"Reten Central, Arica",-18.36167,-69.95944,"1,492",0,DMC,01-07-1961,Convencional,Pluviometrica,Valle,Arica y Parinacota,No,No,Sector desertico,Carabineros de Chile
55,190001  ,,Camina tenencia,-19.31278,-69.42722,"2,417",0,DMC,01-07-1961,Convencional,Pluviometrica,Cordillera,Tarapaca,No,No,"Sector cordillerano, rio Camina 400 mtrs al sur, cerros Alto Camina 300 mtrs al norte.",Carabineros de Chile
56,190002  ,,Pisagua tenencia,-19.59583,-70.21139,10,0,DMC,01-09-1963,Convencional,TermoPluviometrica,Litoral,Tarapaca,No,No,Sector costero,Carabineros de Chile
57,190004  ,,Chusmiza,-19.68333,-69.20000,"3,3",0,DMC,01-01-1929,Convencional,TermoPluviometrica,PreCordillera,Tarapaca,No,No,Sector arido.,S/O
58,190005  ,,Zapiga,-19.62083,-69.90472,"1,164",0,DMC,18-11-1991,Convencional,TermoPluviometrica,Valle,Tarapaca,No,No,Sector desertico,Fuerza Aerea de Chile
59,190006  ,,Q. Camina 3 Km. a. arriba de Tarcavire,-19.11805,-69.24472,"3,863",0,DGA,01-08-2006,Automatica,Climatologica,Cordillera,Tarapaca,No,No,"Se encuentra en Quebrada Camina, sector desertico.",Est. Automatica
60,190007  ,,Colchane (Tte. Isluga),-19.27639,-68.63778,"3,72",0,DGA,01-01-1976,Automatica,Climatologica,Cordillera,Tarapaca,No,No,Se encuentra en la localidad de Colchane.,Est. Automatica
61,190008  ,,Qda. Tarapaca en Sibaya,-19.78305,-69.14333,"2,836",0,DGA,01-02-2004,Automatica,Climatologica,Cordillera,Tarapaca,No,No,Ubicada dn la Quebrada de Tarapaca,Est. Automatica
62,190009  ,,Camarones,-19.01056,-69.85722,100,0,INIA,01-11-2013,Automatica,Climatologica,Valle,Arica y Parinacota,No,No,Rodeada de predios agricolas y cercana al Rio Camarones,Est. Automatica
63,190010  ,,Colchane,-19.27694,-68.63972,"3,7",0,DMC,08-10-2019,Automatica,Climatologica,Cordillera,Tarapaca,No,No,,Estacion Automatica (Red Basica)
64,190011  ,,Cuya,-19.16194,-70.18083,97,0,INIA,20-07-2017,Automatica,Climatologica,Secano Costero,Arica y Parinacota,No,No,"Sector desertico, 10 kmal oeste borde costero",Estacion automatica
65,190901  ,,"Pumire, Colchane",-19.11667,-69.13333,"4,1",0,DMC,01-01-1963,Convencional,TermoPluviometrica,PreCordillera,Tarapaca,No,No,Sector arido precordillerano,Observador Met. Pumire.
66,200001  ,,Huara tenencia,-19.99555,-69.76694,"1,113",0,DMC,01-08-1963,Convencional,TermoPluviometrica,Secano Interior,Tarapaca,No,No,Sector desertico.,Carabineros de Chile
67,200002  ,,Mamina reten,-20.07055,-69.21722,"2,774",0,DMC,01-07-1961,Convencional,Pluviometrica,Cordillera,Tarapaca,No,No,Sector cordillerano,Carabineros de Chile
68,200003  ,SCIQ,"Iquique, Cavancha Ap.",-20.23361,-70.14389,9,0,DMC,01-01-1952,Convencional,Sinoptica Aeronautica,Secano Costero,Tarapaca,Si,Si,Zona urbana,DGAC
69,200004  ,,Huatacondo,-20.92778,-69.05389,"2,299",0,DMC,01-01-1962,Convencional,TermoPluviometrica,Valle,Tarapaca,No,No,"Valle transversal, rodeado de cerros",Simon Mamani Soza
70,200005  ,SCCD,"Iquique, Los Condores Ad.",-20.25389,-70.08500,529,0,DMC,01-07-1946,Convencional,Sinoptica Aeronautica,Secano Costero,Tarapaca,No,No,"Desertico, cerca ciudad a 4 Km",Observador meteorologico DGAC
71,200006  ,SCDA,Diego Aracena Iquique Ap.,-20.54917,-70.18111,48,"2,4",DMC,31-03-1981,Mixta,Sinoptica Aeronautica,Litoral,Tarapaca,Si,Si,"Zona desertica, cerros costeros 600 mtrs hacia el oeste",Eduardo Valenzuela (Anexo 1210)
72,200007  ,,"La Huayca, Pozo Almonte",-20.42167,-69.62750,992,0,DMC,18-11-1991,Automatica,Climatologica,Valle,Tarapaca,No,No,Sector desertico.,Estacion Automatica (Red Basica)
73,200010  ,,"UNAP (Universidad Arturo Prat), Iquique",-20.27083,-70.13083,30,0,DMC,04-01-2017,Automatica,Climatologica,Litoral,Tarapaca,No,No,"Sector urbano, 180 mtrs al oeste borde costero.",Estacion Automatica (Red Basica)
74,200011  ,,Pica Inia,-20.50139,-69.34250,"1,325",0,INIA,15-08-2017,Automatica,Climatologica,Valle,Tarapaca,No,No,"Sector desertico, ubicada en Pica",Estacion automatica
75,200901  ,SCPC,Pica,-20.48417,-69.32805,"1,342",0,DMC,01-10-1963,Convencional,Climatologica,Valle,Tarapaca,No,No,Sector desertico,Fuerza Aerea de Chile
76,200907  ,,"Coyacagua, Pica",-20.03917,-68.83028,"3,928",0,DMC,01-01-1962,Convencional,TermoPluviometrica,PreCordillera,Tarapaca,No,No,Sector arido precordillerano,Observador Coyacagua
77,210001  ,,Quillagua reten (Pueblo),-21.65833,-69.53444,809,0,DMC,01-07-1963,Convencional,TermoPluviometrica,PreCordillera,Antofagasta,No,No,"Sector precordillerano, al Oeste a 100 mtrs aprox rio Loa",Carabineros de Chile
78,210002  ,,Ascotan FFCC,-21.72528,-68.27528,"3,973",0,DMC,01-07-1961,Convencional,Climatologica,Cordillera,Antofagasta,No,No,"Sector cordillerano, 5 km al NE Salar de Ascotan",Adrian Berna Salvatierra
79,210004  ,,Quillagua reten (Aduana),-21.62750,-69.55111,799,0,DMC,11-09-2006,Convencional,TermoPluviometrica,PreCordillera,Antofagasta,No,No,"Sector precordillerano, rio Loa 50 mtrs al este",Carabineros de Chile
80,210005  ,,Quillagua Escuela,-21.66083,-69.53500,809,0,DMC,01-09-1996,Convencional,TermoPluviometrica,PreCordillera,Antofagasta,No,No,"Sector precordillertano, 60 mtrs al oeste rio Loa",Jorge Mena Castro
81,210006  ,,Rio Loa antes Represa Lequena,-21.65583,-68.66194,"3,319",0,DGA,01-12-2001,Automatica,Climatologica,Cordillera,Antofagasta,No,No,"Muy cercano a Rio Loa , Sector desertico",Est. Automatica
82,210007  ,,Ollague INIA,-21.22389,-68.25556,"3,706",0,INIA,17-12-2010,Automatica,Climatologica,Cordillera,Antofagasta,No,No,"Se encuentra en la localidad de Ollague, sector desertico.",Est. Automatica
83,210901  ,SCOY,Ollague,-21.22417,-68.25583,"3,708",0,DMC,01-01-1915,Automatica,Climatologica,Cordillera,Antofagasta,No,No,"Sector desertico cordillerano, 7 km al sur volcan Ollague",Estacion automatica (Red Basica) (Srta. Nidia Carvajal)
84,220001  ,,El Tatio,-22.35000,-68.05000,"4,32",0,DMC,01-12-1968,Convencional,Climatologica,Cordillera,Antofagasta,No,No,Sector cordillerano,Operador CORFO
85,220002  ,SCCF,"El Loa, Calama Ad.",-22.49806,-68.89250,"2,321","4,88",DMC,01-11-1912,Mixta,Sinoptica Aeronautica,PreCordillera,Antofagasta,Si,Si,"Planicie desertica, cerro al S a 6 Km, Cerro al N a 20 Km.",Ariel Bustamante (Anexo 1628)
86,220003  ,,Tocopilla,-22.09111,-70.20028,19,0,DMC,01-11-1924,Convencional,TermoPluviometrica,Litoral,Antofagasta,No,No,Sector costero. Zona desertica,Gaston Arregui Venegas
87,220004  ,,Sierra Gorda reten,-22.89194,-69.32028,"1,626",0,DMC,01-07-1963,Convencional,Pluviometrica,Valle,Antofagasta,No,No,"Sector urbano, rodeado de zona desertica.",Carabineros de Chile
88,220005  ,SCPE,"San Pedro de Atacama, escuela",-22.91278,-68.19694,"2,443",0,DMC,01-08-1958,Convencional,Climatologica,Cordillera,Antofagasta,No,No,Sector cordillerano,Miguel Martinez Argandona
89,220006  ,,Calama DGA,-22.45278,-68.90639,"2,306",0,DGA,01-02-1965,Automatica,Climatologica,PreCordillera,Antofagasta,No,No,Hospital del Cobre a 190 mts W de la estacion met.,Est. Automatica
90,220007  ,,Maria Elena (Soquimich - Radiacion - UV),-22.35000,-69.66667,"1,21",0,DMC,01-08-2008,Automatica,Radiometrica,PreCordillera,Antofagasta,No,No,Sector desertico,Automatica
91,220008  ,,San Pedro de Atacama (Universidad Catolica del Norte - Radiacion UV),-22.91083,-68.20000,"2,45",0,DMC,01-08-2007,Automatica,Radiometrica,PreCordillera,Antofagasta,No,No,Sector desertico,Automatica
92,220009  ,,San Pedro de Atacama II (Universidad Catolica del Norte - radiacion UV),-22.90583,-68.19694,"2,45",0,DMC,15-11-2016,Automatica,Radiometrica,Valle,Antofagasta,No,No,"Sector desertico, estacion ubicada 700 mtrs al NO de San Pedro de Atacama.",Automatica
93,220010  ,,Rio Silala antes B.T. FCAB,-20.01389,-68.02917,"4,305",0,DGA,01-10-2012,Automatica,Climatologica,Cordillera,Antofagasta,No,No,,Est. Automatica
94,220011  ,,Rio Loa en salida embalse Conchi,-22.02778,-68.62139,"2,95",0,DGA,01-02-2012,Automatica,Climatologica,PreCordillera,Antofagasta,No,No,Se encuentra a orilla del Rio Loa,Est. Automatica
95,220012  ,,Cupo - DCP,-22.11472,-68.31667,"3,385",0,DGA,01-11-1973,Automatica,Climatologica,Cordillera,Antofagasta,No,No,Desertico,Est. Automatica
96,220013  ,,Tocopilla,-22.08472,-70.18389,127,0,DGA,01-06-1994,Automatica,Climatologica,Litoral,Antofagasta,No,No,Se encuentra 1500 mts E de la costa,Est. Automatica
97,220014  ,,Linzor - DCP,-22.22972,-68.02278,"4,111",0,DGA,01-11-1973,Automatica,Climatologica,Cordillera,Antofagasta,No,No,Desertico,Est. Automatica
98,220015  ,,Rio Salado en sifon Ayquina,-22.28944,-68.34472,"2,959",0,DGA,01-11-2001,Automatica,Climatologica,Cordillera,Antofagasta,No,No,A orillas del Rio Salado,Est. Automatica
99,220016  ,,Salado embalse,-22.28528,-68.20389,"3,167",0,DGA,01-10-1975,Automatica,Climatologica,Cordillera,Antofagasta,No,No,"Desertico, a pocos metros del rio Salado.",Est. Automatica
100,220017  ,,El Tatio,-22.35111,-68.01639,"4,312",0,DGA,01-06-1977,Automatica,Climatologica,Cordillera,Antofagasta,No,No,Desertico,Est. Automatica
101,220018  ,,Quebrada Barriles,-22.08000,-70.18333,107,0,DGA,01-06-1994,Automatica,Climatologica,Litoral,Antofagasta,No,No,Desertico,Est. Automatica
102,220019  ,,Sierra Gorda,-22.89083,-69.32139,"1,625",0,DGA,01-09-1994,Automatica,Climatologica,Valle,Antofagasta,No,No,Desertico,Est. Automatica
103,220020  ,,Paso Jama,-22.92194,-67.70139,"4,68",0,DGA,01-04-2016,Automatica,Climatologica,Cordillera,Antofagasta,No,No,,Est. Automatica
104,220021  ,,Chiu Chiu,-22.32028,-68.65055,"2,557",0,INIA,03-09-2010,Automatica,Climatologica,PreCordillera,Antofagasta,No,No,A pocos metros del rio Loa,Est. Automatica
105,220022  ,,Caspana,-22.33444,-68.21361,"3,245",0,INIA,01-12-2012,Automatica,Climatologica,Cordillera,Antofagasta,No,No,A pocos metros del rio Caspana. Poca vegetacion.,Est. Automatica
106,220023  ,,Calama Rural,-22.47111,-68.94306,"2,244",0,INIA,11-09-2010,Automatica,Climatologica,Cordillera,Antofagasta,No,No,"Poca vegetacion, sector rural",Est. Automatica
107,220024  ,,San Pedro de Atacama INIA,-22.93222,-68.21333,"2,416",0,INIA,18-11-2010,Automatica,Climatologica,Cordillera,Antofagasta,No,No,Poca Vegetacion,Est. Automatica
108,220025  ,,Cerro Chajnator (CCAT) USACH,-22.95917,-67.78583,"5,149",0,USACH,15-04-2021,Automatica,Climatologica,Cordillera,Antofagasta,No,No,"Sector desertico, 30 km al NNW laguna Verde, 48 km al este Salar de Tara",Estacion automatica
109,220901  ,,El Loa - Chuquicamata CODELCO,-22.29944,-68.89389,"2,854",0,DMC,01-11-1975,Convencional,Climatologica,PreCordillera,Antofagasta,No,No,Sector desertico.,Pedro Honores Gonzalez
110,220903  ,,Pedro de Valdivia,-22.58333,-69.66667,0,0,DMC,01-07-1963,Convencional,TermoPluviometrica,Valle,Antofagasta,No,No,Sector Desertico,Funcionario pedro de Valdivia
111,230001  ,SCFA,Cerro Moreno Antofagasta Ap.,-23.45361,-70.44528,112,"2,19",DMC,01-06-1944,Mixta,Sinoptica Aeronautica,Litoral,Antofagasta,Si,Si,Zona Desertica.,Sr. Fernando Pino Nieto ( Anexo1526 )
112,230002  ,,"Universidad Catolica del Norte, Antofagasta",-23.68083,-70.41111,31,0,DMC,01-06-1968,Automatica,Climatologica,Litoral,Antofagasta,No,No,"Sector urbano, ubicada en la ciudad de Antofagasta",Jose Cerda Molina
113,230003  ,,Pampa Uribe Comunidad GEN,-23.93333,-70.36667,560,0,DMC,01-10-1987,Convencional,Climatologica,Litoral,Antofagasta,No,No,"Sector desertico, 14 km al oeste playa Escondida",Carlos Espinoza A.
114,230004  ,,Toconao,-23.18611,-68.00556,"2,495",0,DMC,01-12-1998,Automatica,Climatologica,Cordillera,Antofagasta,No,No,Sector desertico,Est. Automatica (Red Basica)
115,230005  ,,Toconao Quebrada 4,-23.15305,-67.89833,"3,465",0,DGA,01-04-2016,Automatica,Climatologica,Cordillera,Antofagasta,No,No,Desertico,Est. Automatica
116,230006  ,,Toconao Pueblo,-23.18194,-68.00389,"2,698",0,DGA,01-04-2016,Automatica,Climatologica,Cordillera,Antofagasta,No,No,Desertico,Est. Automatica
117,230007  ,,Baquedano,-23.33111,-69.84000,"1,037",0,DGA,01-04-1975,Automatica,Climatologica,Valle,Antofagasta,No,No,Desertico,Est. Automatica
118,230008  ,,Quebrada La Chimba,-23.55861,-70.39528,33,0,DGA,01-04-2016,Automatica,Climatologica,Litoral,Antofagasta,No,No,Poca vegetacion,Est. Automatica
119,230009  ,,Liceo Cientifico Humanista la Chimba,-23.55917,-70.39389,40,0,DGA,01-06-2015,Automatica,Climatologica,Litoral,Antofagasta,No,No,Poca Vegetacion,Est. Automatica
120,230010  ,,Quebrada Bonilla,-23.58278,-70.37417,112,0,DGA,01-04-2016,Automatica,Climatologica,Litoral,Antofagasta,No,No,Poca vegetacion,Est. Automatica
121,230011  ,,Antofagasta,-23.59750,-70.38639,50,0,DGA,01-01-1978,Automatica,Climatologica,Litoral,Antofagasta,No,No,Poca vegetacion,Est. Automatica
122,230012  ,,Quebrada Farellones,-23.61444,-70.37028,185,0,DGA,01-04-2016,Automatica,Climatologica,Litoral,Antofagasta,No,No,"Poca vegetacion, a 2.3 Km W del borde costero.",Est. Automatica
123,230013  ,,Quebrada La Cadena,-23.62694,-70.37500,139,0,DGA,01-04-2016,Automatica,Climatologica,Litoral,Antofagasta,No,No,Poca vegetacion,Est. Automatica
124,230014  ,,Esc. Fundacion minera Escondida,-23.61861,-70.37250,176,0,DGA,01-06-2015,Automatica,Climatologica,Litoral,Antofagasta,No,No,Ubicado en la escuela F89 Minera Escondida,Est. Automatica
125,230015  ,,Quebrada el Toro,-23.66805,-70.39611,89,0,DGA,01-04-2016,Automatica,Climatologica,Litoral,Antofagasta,No,No,Poca vegetacion,Est. Automatica
126,230016  ,,Universidad de Antofagasta,-23.70167,-70.42083,28,0,DGA,01-06-2015,Automatica,Climatologica,Litoral,Antofagasta,No,No,Se encuentra a 350 mts E de la costa.,Est. Automatica
127,230017  ,,Quebrada Jardines del Sur,-23.70167,-70.42083,26,0,DGA,01-04-2016,Automatica,Climatologica,Valle,Antofagasta,No,No,Se encuentra a 360 mts E de la costa.,Est. Automatica
128,230018  ,,Paso Sico,-23.82167,-67.44000,"4,295",0,DGA,01-04-2016,Automatica,Climatologica,Cordillera,Antofagasta,No,No,Desertico,Est. Automatica
129,230019  ,,Toconao,-23.19055,-68.00722,"2,478",0,INIA,04-09-2010,Automatica,Climatologica,Cordillera,Antofagasta,No,No,Poca vegetacion,Est. Automatica
